name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
Cuban Press,push,intermediate,compound,dumbbell,shoulders,traps,None,None,None,None,None,None,None,None,None,"Take a dumbbell in each hand with a pronated grip in a standing position. Raise your upper arms so that they are parallel to the floor, allowing your lower arms to hang in the ""scarecrow"" position. This will be your starting position.",strength
Dancer's Stretch,static,beginner,None,None,lower back,abductors,glutes,None,None,None,None,None,None,None,None,Sit up on the floor.,stretching
Dead Bug,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Begin lying on your back with your hands extended above you toward the ceiling.,strength
Deadlift with Bands,pull,expert,compound,barbell,lower back,forearms,glutes,hamstrings,middle back,quadriceps,traps,None,None,None,None,"To deadlift with short bands, simply loop them over the bar before you start, and step into them to set up. For long bands, they will need to be anchored to a secure base, such as heavy dumbbells or a rack.",powerlifting
Deadlift with Chains,pull,expert,compound,barbell,lower back,forearms,glutes,hamstrings,middle back,quadriceps,traps,None,None,None,None,"You can attach the chains to the sleeves of the bar, or just drape the middle over the bar so there is a greater weight increase as you lift.",powerlifting
Decline Barbell Bench Press,push,beginner,compound,barbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and slowly lay down on the bench.,strength
Decline Close-Grip Bench To Skull Crusher,push,intermediate,compound,barbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and slowly lay down on the bench.,strength
Decline Crunch,pull,intermediate,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and lie down.,strength
Decline Dumbbell Bench Press,push,beginner,compound,dumbbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.,strength
Decline Dumbbell Flyes,push,beginner,compound,dumbbell,chest,None,None,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.,strength
Decline Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.,strength
Decline EZ Bar Triceps Extension,push,beginner,isolation,barbell,triceps,None,None,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and slowly lay down on the bench.,strength
Decline Oblique Crunch,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Secure your legs at the end of the decline bench and slowly lay down on the bench.,strength
Decline Push-Up,push,beginner,compound,None,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length. Move your feet up to a box or bench. This will be your starting position.,strength
Decline Reverse Crunch,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lie on your back on a decline bench and hold on to the top of the bench with both hands. Don't let your body slip down from this position.,strength
Decline Smith Press,push,beginner,compound,machine,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Place a decline bench underneath the Smith machine. Now place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Using a pronated grip that is wider than shoulder width, unlock the bar from the rack and hold it straight over you with your arms extended. This will be your starting position.",strength
Deficit Deadlift,pull,intermediate,compound,barbell,lower back,forearms,glutes,hamstrings,middle back,quadriceps,traps,None,None,None,None,"Begin by having a platform or weight plates that you can stand on, usually 1-3 inches in height. Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an overhand grip or an over/under grip on heavier sets.",powerlifting
Depth Jump Leap,push,beginner,compound,other,quadriceps,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,"For this drill you will need two boxes or benches, one 12 to 16 inches high and the other 22 to 26 inches high.",plyometrics
Dip Machine,push,beginner,compound,machine,triceps,chest,shoulders,None,None,None,None,None,None,None,None,"Sit securely in a dip machine, select the weight and firmly grasp the handles.",strength
Dips - Chest Version,push,intermediate,compound,other,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"For this exercise you will need access to parallel bars. To get yourself into the starting position, hold your body at arms length (arms locked) above the bars.",strength
Dips - Triceps Version,push,beginner,compound,body only,triceps,chest,shoulders,None,None,None,None,None,None,None,None,"To get into the starting position, hold your body at arm's length with your arms nearly locked above the bars.",strength
Donkey Calf Raises,push,intermediate,isolation,other,calves,None,None,None,None,None,None,None,None,None,None,For this exercise you will need access to a donkey calf raise machine. Start by positioning your lower back and hips under the padded lever provided. The tailbone area should be the one making contact with the pad.,strength
Double Kettlebell Alternating Hang Clean,pull,intermediate,compound,kettlebells,hamstrings,biceps,calves,forearms,glutes,lower back,quadriceps,traps,None,None,None,"Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.",strength
Double Kettlebell Jerk,push,intermediate,compound,kettlebells,shoulders,calves,quadriceps,triceps,None,None,None,None,None,None,None,Hold a kettlebell by the handle in each hand.,strength
Double Kettlebell Push Press,push,intermediate,compound,kettlebells,shoulders,calves,quadriceps,triceps,None,None,None,None,None,None,None,Clean two kettlebells to your shoulders.,strength
Double Kettlebell Snatch,pull,expert,compound,kettlebells,shoulders,glutes,hamstrings,quadriceps,None,None,None,None,None,None,None,Place two kettlebells behind your feet. Bend your knees and sit back to pick up the kettlebells.,strength
Double Kettlebell Windmill,pull,intermediate,None,kettlebells,abdominals,glutes,hamstrings,shoulders,triceps,None,None,None,None,None,None,"Place a kettlebell in front of your front foot and clean and press a kettlebell overhead with your opposite arm. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so, so that the palm faces forward.",strength
Double Leg Butt Kick,push,beginner,compound,body only,quadriceps,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,Begin standing with your knees slightly bent.,plyometrics
Downward Facing Balance,static,intermediate,isolation,exercise ball,glutes,abdominals,hamstrings,None,None,None,None,None,None,None,None,Lie facedown on top of an exercise ball.,strength
Drag Curl,pull,intermediate,compound,barbell,biceps,forearms,None,None,None,None,None,None,None,None,None,Grab a barbell with a supinated grip (palms facing forward) and get your elbows close to your torso and back. This will be your starting position.,strength
Drop Push,push,intermediate,compound,other,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Position low boxes or other platforms 2-3 feet apart.,plyometrics
Dumbbell Alternate Bicep Curl,pull,beginner,isolation,dumbbell,biceps,forearms,None,None,None,None,None,None,None,None,None,Stand (torso upright) with a dumbbell in each hand held at arms length. The elbows should be close to the torso and the palms of your hand should be facing your thighs.,strength
Dumbbell Bench Press,push,beginner,compound,dumbbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie down on a flat bench with a dumbbell in each hand resting on top of your thighs. The palms of your hands will be facing each other.,strength
Dumbbell Bench Press with Neutral Grip,push,beginner,compound,dumbbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Take a dumbbell in each hand and lay back onto a flat bench. Your feet should be flat on the floor and your shoulder blades retracted.,strength
Dumbbell Bicep Curl,pull,beginner,isolation,dumbbell,biceps,forearms,None,None,None,None,None,None,None,None,None,Stand up straight with a dumbbell in each hand at arm's length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position.,strength
Dumbbell Clean,pull,intermediate,compound,dumbbell,hamstrings,calves,forearms,glutes,lower back,quadriceps,shoulders,traps,None,None,None,Begin standing with a dumbbell in each hand with your feet shoulder width apart.,strength
Dumbbell Floor Press,push,intermediate,compound,dumbbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Lay on the floor holding dumbbells in your hands. Your knees can be bent. Begin with the weights fully extended above you.,powerlifting
Dumbbell Flyes,push,beginner,isolation,dumbbell,chest,None,None,None,None,None,None,None,None,None,None,Lie down on a flat bench with a dumbbell on each hand resting on top of your thighs. The palms of your hand will be facing each other.,strength
Dumbbell Incline Row,pull,beginner,compound,dumbbell,middle back,biceps,forearms,lats,shoulders,None,None,None,None,None,None,"Using a neutral grip, lean into an incline bench.",strength
Dumbbell Incline Shoulder Raise,push,beginner,isolation,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,Sit on an Incline Bench while holding a dumbbell on each hand on top of your thighs.,strength
Dumbbell Lunges,push,beginner,compound,dumbbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Stand with your torso upright holding two dumbbells in your hands by your sides. This will be your starting position.,strength
Dumbbell Lying One-Arm Rear Lateral Raise,pull,intermediate,isolation,dumbbell,shoulders,middle back,None,None,None,None,None,None,None,None,None,"While holding a dumbbell in one hand, lay with your chest down on a slightly inclined (around 15 degrees when measured from the floor) adjustable bench. The other hand can be used to hold to the leg of the bench for stability.",strength
Dumbbell Lying Pronation,pull,intermediate,isolation,dumbbell,forearms,None,None,None,None,None,None,None,None,None,None,Lie on a flat bench face down with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.,strength
Dumbbell Lying Rear Lateral Raise,pull,intermediate,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,"While holding a dumbbell in each hand, lay with your chest down on a slightly inclined (around 15 degrees when measured from the floor) adjustable bench.",strength
Dumbbell Lying Supination,pull,intermediate,isolation,dumbbell,forearms,None,None,None,None,None,None,None,None,None,None,Lie sideways on a flat bench with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.,strength
Dumbbell One-Arm Shoulder Press,push,intermediate,compound,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,Grab a dumbbell and either sit on a military press bench or a utility bench that has a back support on it as you place the dumbbells upright on top of your thighs or stand up straight.,strength
Dumbbell One-Arm Triceps Extension,push,intermediate,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,Grab a dumbbell and either sit on a military press bench or a utility bench that has a back support on it as you place the dumbbells upright on top of your thighs or stand up straight.,strength
Dumbbell One-Arm Upright Row,pull,intermediate,compound,dumbbell,shoulders,biceps,traps,None,None,None,None,None,None,None,None,Grab a dumbbell and stand up straight with your arm extended in front of you with a slight bend at the elbows and your back straight. This will be your starting position. Tip: The dumbbell should be resting on top of your thigh with the palm of your hands facing your thighs.,strength
Dumbbell Prone Incline Curl,pull,intermediate,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Grab a dumbbell on each hand and lie face down on an incline bench with your shoulders near top of the incline. Your knees can rest on the seat or your legs can be straddled to the sides (my preferred way).,strength
Dumbbell Raise,pull,beginner,compound,dumbbell,shoulders,biceps,None,None,None,None,None,None,None,None,None,Grab a dumbbell in each arm and stand up straight with your arms extended by your sides with a slight bend at the elbows and your back straight. This will be your starting position. Tip: The dumbbell should be next to your thighs with the palm of your hands facing back.,strength
Dumbbell Rear Lunge,push,intermediate,compound,dumbbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Stand with your torso upright holding two dumbbells in your hands by your sides. This will be your starting position.,strength
Dumbbell Scaption,push,beginner,isolation,dumbbell,shoulders,traps,None,None,None,None,None,None,None,None,None,"This corrective exercise strengthens the muscles that stabilize your shoulder blade. Hold a light weight in each hand, hanging at your sides. Your thumbs should pointing up.",strength
Dumbbell Seated Box Jump,push,intermediate,compound,dumbbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Position a box a couple feet to the side of a bench. Hold a dumbbell to your chest with both hands and seat yourself on the bench facing the box. This will be your starting position.,plyometrics
Dumbbell Seated One-Leg Calf Raise,push,beginner,isolation,dumbbell,calves,None,None,None,None,None,None,None,None,None,None,Place a block on the floor about 12 inches from a flat bench.,strength
Dumbbell Shoulder Press,push,intermediate,compound,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,"While holding a dumbbell in each hand, sit on a military press bench or utility bench that has back support. Place the dumbbells upright on top of your thighs.",strength
Dumbbell Shrug,pull,beginner,isolation,dumbbell,traps,None,None,None,None,None,None,None,None,None,None,"Stand erect with a dumbbell on each hand (palms facing your torso), arms extended on the sides.",strength
Dumbbell Side Bend,pull,beginner,isolation,dumbbell,abdominals,None,None,None,None,None,None,None,None,None,None,Stand up straight while holding a dumbbell on the left hand (palms facing the torso) as you have the right hand holding your waist. Your feet should be placed at shoulder width. This will be your starting position.,strength
Dumbbell Squat,push,beginner,compound,dumbbell,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,Stand up straight while holding a dumbbell on each hand (palms facing the side of your legs).,strength
Dumbbell Squat To A Bench,push,intermediate,compound,dumbbell,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,Stand up straight with a flat bench behind you while holding a dumbbell on each hand (palms facing the side of your legs).,strength
Dumbbell Step Ups,push,intermediate,compound,dumbbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Stand up straight while holding a dumbbell on each hand (palms facing the side of your legs).,strength
Dumbbell Tricep Extension -Pronated Grip,push,beginner,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,Lie down on a flat bench holding two dumbbells directly above your shoulders. Your arms should be fully extended and form a 90 degree angle from your torso and the floor.,strength
Dynamic Back Stretch,pull,beginner,None,None,lats,None,None,None,None,None,None,None,None,None,None,Stand with your feet shoulder width apart. This will be your starting position.,stretching
Dynamic Chest Stretch,pull,beginner,None,None,chest,middle back,None,None,None,None,None,None,None,None,None,"Stand with your hands together, arms extended directly in front of you. This will be your starting position.",stretching
EZ-Bar Curl,pull,beginner,isolation,e-z curl bar,biceps,None,None,None,None,None,None,None,None,None,None,Stand up straight while holding an EZ curl bar at the wide outer handle. The palms of your hands should be facing forward and slightly tilted inward due to the shape of the bar. Keep your elbows close to your torso. This will be your starting position.,strength
EZ-Bar Skullcrusher,push,beginner,isolation,e-z curl bar,triceps,forearms,None,None,None,None,None,None,None,None,None,"Using a close grip, lift the EZ bar and hold it with your elbows in as you lie on the bench. Your arms should be perpendicular to the floor. This will be your starting position.",strength
Elbow Circles,pull,beginner,isolation,None,shoulders,traps,None,None,None,None,None,None,None,None,None,Sit or stand with your feet slightly apart.,stretching
Elbow to Knee,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,"Lie on the floor, crossing your right leg across your bent left knee. Clasp your hands behind your head, beginning with your shoulder blades on the ground. This will be your starting position.",strength
Elbows Back,static,beginner,isolation,None,chest,shoulders,None,None,None,None,None,None,None,None,None,Stand up straight.,stretching
Elevated Back Lunge,push,intermediate,compound,barbell,quadriceps,glutes,hamstrings,None,None,None,None,None,None,None,None,"Position a bar onto a rack at shoulder height loaded to an appropriate weight. Place a short, raised platform behind you.",strength
Elevated Cable Rows,pull,intermediate,compound,cable,lats,middle back,traps,None,None,None,None,None,None,None,None,Get a platform of some sort (it can be an aerobics or calf raise platform) that is around 4-6 inches in height.,strength
Elliptical Trainer,None,intermediate,None,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"To begin, step onto the elliptical and select the desired option from the menu. Most ellipticals have a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Elevation can be adjusted to change the intensity of the workout.",cardio
Exercise Ball Crunch,pull,beginner,isolation,exercise ball,abdominals,None,None,None,None,None,None,None,None,None,None,Lie on an exercise ball with your lower back curvature pressed against the spherical surface of the ball. Your feet should be bent at the knee and pressed firmly against the floor. The upper torso should be hanging off the top of the ball. The arms should either be kept alongside the body or crossed on top of your chest as these positions avoid neck strains (as opposed to the hands behind the back of the head position).,strength
Exercise Ball Pull-In,pull,beginner,compound,exercise ball,abdominals,None,None,None,None,None,None,None,None,None,None,Place an exercise ball nearby and lay on the floor in front of it with your hands on the floor shoulder width apart in a push-up position.,strength
Extended Range One-Arm Kettlebell Floor Press,push,beginner,compound,kettlebells,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Lie on the floor and position a kettlebell for one arm to press. The kettlebell should be held by the handle. The leg on the same side that you are pressing should be bent, with the knee crossing over the midline of the body.",strength
External Rotation,pull,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Lie sideways on a flat bench with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.,strength
External Rotation with Band,pull,beginner,compound,bands,shoulders,None,None,None,None,None,None,None,None,None,None,Choke the band around a post. The band should be at the same height as your elbow. Stand with your left side to the band a couple of feet away.,strength
External Rotation with Cable,pull,beginner,isolation,cable,shoulders,None,None,None,None,None,None,None,None,None,None,Adjust the cable to the same height as your elbow. Stand with your left side to the band a couple of feet away.,strength
Face Pull,pull,intermediate,compound,cable,shoulders,middle back,None,None,None,None,None,None,None,None,None,None,strength
Farmer's Walk,None,intermediate,compound,other,forearms,abdominals,glutes,hamstrings,lower back,quadriceps,traps,None,None,None,None,There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. Begin by standing between the implements.,strongman
Fast Skipping,push,beginner,compound,body only,quadriceps,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,Start in a relaxed position with one leg slightly forward. This will be your starting position.,plyometrics
Finger Curls,pull,beginner,isolation,barbell,forearms,None,None,None,None,None,None,None,None,None,None,Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width.,strength
Flat Bench Cable Flyes,push,intermediate,isolation,cable,chest,None,None,None,None,None,None,None,None,None,None,"Position a flat bench between two low pulleys so that when you are laying on it, your chest will be lined up with the cable pulleys.",strength
Flat Bench Leg Pull-In,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lie on an exercise mat or a flat bench with your legs off the end.,strength
Flat Bench Lying Leg Raise,pull,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lie with your back flat on a bench and your legs extended in front of you off the end.,strength
Flexor Incline Dumbbell Curls,pull,beginner,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,"Hold the dumbbell towards the side farther from you so that you have more weight on the side closest to you. (This can be done for a good effect on all bicep dumbbell exercises). Now do a normal incline dumbbell curl, but keep your wrists as far back as possible so as to neutralize any stress that is placed on them.",strength
Floor Glute-Ham Raise,pull,intermediate,isolation,None,hamstrings,calves,glutes,None,None,None,None,None,None,None,None,You can use a partner for this exercise or brace your feet under something stable.,strength
Floor Press,push,intermediate,compound,barbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Adjust the j-hooks so they are at the appropriate height to rack the bar. Begin lying on the floor with your head near the end of a power rack. Keeping your shoulder blades pulled together; pull the bar off of the hooks.,powerlifting
Floor Press with Chains,push,intermediate,compound,barbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,"Adjust the j-hooks so they are at the appropriate height to rack the bar. For this exercise, drape the chains directly over the end of the bar, trying to keep the ends away from the plates.",powerlifting
Flutter Kicks,pull,beginner,compound,body only,glutes,hamstrings,None,None,None,None,None,None,None,None,None,"On a flat bench lie facedown with the hips on the edge of the bench, the legs straight with toes high off the floor and with the arms on top of the bench holding on to the front edge.",strength
Foot-SMR,static,intermediate,None,other,calves,None,None,None,None,None,None,None,None,None,None,"This exercise stretches the fascia of the muscles in the feet. Start off seated with your shoes removed. Using a foot roller or a similar object, such as a small section of pvc pipe, place your foot against the roller across the arch of your foot. This will be your starting position.",stretching
Forward Drag with Press,push,intermediate,compound,other,chest,calves,glutes,hamstrings,quadriceps,shoulders,triceps,None,None,None,None,"Attach a dual handled chain or rope attachment to the sled. You should be facing away from the sled, holding a handle in each hand.",strongman
Frankenstein Squat,push,intermediate,compound,barbell,quadriceps,abdominals,calves,glutes,hamstrings,None,None,None,None,None,None,This drill teaches you the proper positioning of both the bar and your body during the clean and front squat.,olympic weightlifting
Freehand Jump Squat,push,intermediate,compound,body only,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Cross your arms over your chest.,strength
Frog Hops,push,intermediate,compound,None,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"Stand with your hands behind your head, and squat down keeping your torso upright and your head up. This will be your starting position.",stretching
Frog Sit-Ups,pull,intermediate,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lie with your back flat on the floor (or exercise mat) and your legs extended in front of you.,strength
Front Barbell Squat,push,expert,compound,barbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, bring your arms up under the bar while keeping the elbows high and the upper arm slightly above parallel to the floor. Rest the bar on top of the deltoids and cross your arms while grasping the bar for total control.",strength
Front Barbell Squat To A Bench,push,expert,compound,barbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set a flat bench behind you and set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, bring your arms up under the bar while keeping the elbows high and the upper arm slightly above parallel to the floor. Rest the bar on top of the deltoids and cross your arms while grasping the bar for total control.",strength
Front Box Jump,push,beginner,compound,other,hamstrings,abductors,adductors,calves,glutes,quadriceps,None,None,None,None,None,Begin with a box of an appropriate height 1-2 feet in front of you. Stand with your feet should width apart. This will be your starting position.,plyometrics
Front Cable Raise,push,beginner,isolation,cable,shoulders,None,None,None,None,None,None,None,None,None,None,Select the weight on a low pulley machine and grasp the single hand cable attachment that is attached to the low pulley with your left hand.,strength
Front Cone Hops (or hurdle hops),push,beginner,compound,other,quadriceps,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,"Set up a row of cones or other small barriers, placing them a few feet apart.",plyometrics
Front Dumbbell Raise,push,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Pick a couple of dumbbells and stand with a straight torso and the dumbbells on front of your thighs at arms length with the palms of the hand facing your thighs. This will be your starting position.,strength
Front Incline Dumbbell Raise,push,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Sit down on an incline bench with the incline set anywhere between 30 to 60 degrees while holding a dumbbell on each hand. Tip: You can change the angle to hit the muscle a little differently each time.,strength
Front Leg Raises,pull,beginner,None,body only,hamstrings,None,None,None,None,None,None,None,None,None,None,"Stand next to a chair or other support, holding on with one hand.",stretching
Front Plate Raise,push,intermediate,isolation,other,shoulders,None,None,None,None,None,None,None,None,None,None,"While standing straight, hold a barbell plate in both hands at the 3 and 9 o'clock positions. Your palms should be facing each other and your arms should be extended and locked with a slight bend at the elbows and the plate should be down near your waist in front of you as far as you can go. Tip: The arms will remain in this position throughout the exercise. This will be your starting position.",strength
Front Raise And Pullover,pull,beginner,compound,barbell,chest,lats,shoulders,triceps,None,None,None,None,None,None,None,Lie on a flat bench while holding a barbell using a palms down grip that is about 15 inches apart.,strength
Front Squat (Clean Grip),push,intermediate,compound,barbell,quadriceps,abdominals,glutes,hamstrings,None,None,None,None,None,None,None,"To begin, first set the bar in a rack slightly below shoulder level. Rest the bar on top of the deltoids, pushing into the clavicles, and lightly touching the throat. Your hands should be in a clean grip, touching the bar only with your fingers to help keep it in position.",strength
Front Squats With Two Kettlebells,push,intermediate,compound,kettlebells,quadriceps,calves,glutes,None,None,None,None,None,None,None,None,Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so.,strength
Front Two-Dumbbell Raise,push,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Pick a couple of dumbbells and stand with a straight torso and the dumbbells on front of your thighs at arms length with the palms of the hand facing your thighs. This will be your starting position.,strength
Full Range-Of-Motion Lat Pulldown,pull,intermediate,compound,cable,lats,biceps,middle back,shoulders,None,None,None,None,None,None,None,"Either standing or seated on a high bench, grasp two stirrup cables that are attached to the high pulleys. Grab with the opposing hand so your arms are crisscrossed about you and your palms are facing forward.",strength
Gironda Sternum Chins,pull,intermediate,compound,other,lats,biceps,middle back,None,None,None,None,None,None,None,None,Grasp the pull-up bar with a shoulder width underhand grip.,strength
Glute Ham Raise,pull,intermediate,compound,machine,hamstrings,calves,glutes,None,None,None,None,None,None,None,None,Begin by adjusting the equipment to fit your body. Place your feet against the footplate in between the rollers as you lie facedown. Your knees should be just behind the pad.,powerlifting
Glute Kickback,push,beginner,compound,body only,glutes,hamstrings,None,None,None,None,None,None,None,None,None,Kneel on the floor or an exercise mat and bend at the waist with your arms extended in front of you (perpendicular to the torso) in order to get into a kneeling push-up position but with the arms spaced at shoulder width. Your head should be looking forward and the bend of the knees should create a 90-degree angle between the hamstrings and the calves. This will be your starting position.,strength
Goblet Squat,push,beginner,compound,kettlebells,quadriceps,calves,glutes,hamstrings,shoulders,None,None,None,None,None,None,Stand holding a light kettlebell by the horns close to your chest. This will be your starting position.,strength
Good Morning,push,intermediate,compound,barbell,hamstrings,abdominals,glutes,lower back,None,None,None,None,None,None,None,"Begin with a bar on a rack at shoulder height. Rack the bar across the rear of your shoulders as you would a power squat, not on top of your shoulders. Keep your back tight, shoulder blades pinched together, and your knees slightly bent. Step back from the rack.",powerlifting
Good Morning off Pins,push,intermediate,compound,barbell,hamstrings,abdominals,glutes,lower back,None,None,None,None,None,None,None,"Begin with a bar on a rack at about the same height as your stomach. Bend over underneath the bar and rack the bar across the rear of your shoulders as you would a power squat, not on top of your shoulders. At the proper height, you should be near parallel to the floor when bent over. Keep your back tight, shoulder blades pinched together, and your knees slightly bent. Keep your back arched and your cervical spine in proper alignment.",powerlifting
Gorilla Chin/Crunch,pull,intermediate,compound,body only,abdominals,biceps,lats,None,None,None,None,None,None,None,None,Hang from a chin-up bar using an underhand grip (palms facing you) that is slightly wider than shoulder width.,strength
Groin and Back Stretch,static,intermediate,compound,None,adductors,None,None,None,None,None,None,None,None,None,None,Sit on the floor with your knees bent and feet together.,stretching
Groiners,pull,intermediate,compound,body only,adductors,None,None,None,None,None,None,None,None,None,None,Begin in a pushup position on the floor. This will be your starting position.,stretching
Hack Squat,push,beginner,compound,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Place the back of your torso against the back pad of the machine and hook your shoulders under the shoulder pads provided.,strength
Hammer Curls,pull,beginner,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Stand up with your torso upright and a dumbbell on each hand being held at arms length. The elbows should be close to the torso.,strength
Hammer Grip Incline DB Bench Press,push,beginner,compound,dumbbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.,strength
Hamstring-SMR,static,beginner,isolation,foam roll,hamstrings,None,None,None,None,None,None,None,None,None,None,"In a seated position, extend your legs over a foam roll so that it is position on the back of the upper legs. Place your hands to the side or behind you to help support your weight. This will be your starting position.",stretching
Hamstring Stretch,static,beginner,isolation,None,hamstrings,None,None,None,None,None,None,None,None,None,None,"Lie on your back with one leg extended above you, with the hip at ninety degrees. Keep the other leg flat on the floor.",stretching
Handstand Push-Ups,push,expert,compound,body only,shoulders,triceps,None,None,None,None,None,None,None,None,None,With your back to the wall bend at the waist and place both hands on the floor at shoulder width.,strength
Hang Clean,pull,intermediate,compound,barbell,quadriceps,calves,forearms,glutes,hamstrings,lower back,shoulders,traps,None,None,None,"Begin with a shoulder width, double overhand or hook grip, with the bar hanging at the mid thigh position. Your back should be straight and inclined slightly forward.",olympic weightlifting
Hang Clean - Below the Knees,pull,intermediate,compound,barbell,quadriceps,calves,forearms,glutes,hamstrings,lower back,shoulders,traps,None,None,None,"Begin with a shoulder width, double overhand or hook grip, with the bar hanging just below the knees. Your back should be straight and inclined slightly forward.",olympic weightlifting
